id,codigo,junta,macrodistrito,distrito,proyecto,monto_poa_2025,planimetria,posesion,conclusion,vigencia,vigente,representante,celular
otb_2019.125,SR19-01,LAS ROSAS DE WILACOTA,SUR,19,CONST. ENLOSETADO Y OBRAS COMPLEMENTARIAS CALLE 19 ENTRE CALLES 39 Y 36 ZONA LAS ROSAS DE WILACOTA,229273,,,15/10/2023,15/10/2025,Sí,Alvarez Merida Oscar Braulio,
otb_2019.141,SR19-02,URB. ROSAS CALACALANI,SUR,19,CONST. ENLOSETADO Y OBRAS COMPL. CALLE 19 ENTRE CALLE 30 Y CALLE 28 ZONA URB. ROSAS CALACALANI,199389,,,4/2/2024,4/2/2026,Sí,Barcaya Calani Edgar,
otb_2019.137,SR19-03,OVEJUYO NUEVO AMANECER,SUR,19,CONST. ENLOSETADO Y OBRAS COMP. C. LOS SAUCES ENTRE C. CHIRINOS Y AV. RIO LAUCA ZONA OVEJUYO NUEVO AMANECER,199982,,,14/8/2025,,,,
otb_2019.113,SR19-04,ALTO OVEJUYO,SUR,19,CONST. ENLOSETADO Y OBRAS COM. C.S/N 3 Y C. LOS PINOS ENTRE C. LAS ROSAS Y C. CONCORDIA ZONA ALTO OVEJUYO,229912,Sí,No,5/8/2025,,No,Aguilar Duran Guido Lucio,
otb_2019.136,SR19-05,OVEJUYO CENTRAL,SUR,19,CONST. ENLOSETADO Y OBRAS COMPLEMENTARIAS CALLE 10 ENTRE CALLES LAS ROSAS Y LITORAL ZONA OVEJUYO CENTRAL,229556,,,8/9/2024,8/9/2026,Sí,Romecin Sergio,
otb_2019.121,SR19-07,EL ARENAL OVEJUYO,SUR,19,AMPL. ENLOSETADO Y OBRAS COMPLEMENTARIAS C. CARMELITAS ENTRE CALLE S/N 1 Y AV. S/N 1 ZONA EL ARENAL OVEJUYO,229273,,,11/5/2025,11/5/2027,Sí,Ovejuyo Acho Quispe Diego,
otb_2019.152,SR19-08,VILLA APAÑA,SUR,19,CONST. ENLOSETADO Y OB. COMPL. CALLE CENTRE C. S/N 2 Y C. S/N 3 ZONA VILLA APAÑA,99999,,,25/8/2024,25/8/2026,Sí,Copa Grover,
otb_2019.124,SR19-09,LAKACOLLO OVEJUYO,SUR,19,CONST. ENLOSETADO Y OBRAS COMPLEMENTARIAS AV.2 ENTRE C. 6 Y C. S/N (C. 8) ZONA LAKACOLLO OVEJUYO,229273,,,19/11/2023,19/11/2025,Sí,Cahuapaza Celso,
otb_2019.119,SR19-12,CODAVISA,SUR,19,CONST. ENLOSETADO Y OBRAS COMPLEMENTARIAS AVENIDA 6 ENTRE CALLE 7 Y CALLE 24 ZONA CODAVISA,159926,,,14/8/2025,,No,Ossa Jordan Ronilda,
otb_2019.142,SR19-13,ALTO HUAYRAPATA,SUR,19,CONST. ENLOSETADO Y OBRAS COMP. CALLE 10 ENTRE C. S/N (CALLE 5) Y C. S/N (CALLE 7) ZONA ALTO HUAYRAPATA,159915,,,5/8/2025,,No,Limachi Martín,
otb_2019.135,SR19-15,NUEVA ALIANZA BAJO HUAYRAPATA,SUR,19,AMPL. ENLOSETADO Y OBRAS COMP. C. P ENTRE AV. LOS ROSALES Y C. S/N (C.11) ZONA NUEVA ALIANZA BAJO HUAYRAPATA,99981,,,14/8/2025,,,,
otb_2019.131,SR19-16,LOS ROSALES ALTO CALACOTO,SUR,19,CONST. MURO DE CONT. OB. COMPL. AV. KANTUTAS ENTRE AV. CIRCUNVALACION Y C. 5 ZONA LOS ROSALES ALTO CALACOTO,229997,Sí,Sí,20/10/2023,20/10/2025,No,Franco Cristobal,
otb_2019.128,SR19-18,LOS LIRIOS,SUR,19,AMPL. ASFALTADO Y OBRAS COMPLEMENTARIAS CALLE LAS KANTUTAS ENTRE CALLE XVII Y CALLE ACACIAS ZONA LOS LIRIOS,99995,,,,,,Jaime Peréz,
otb_2019.134,SR19-19,EL PEDREGAL,SUR,19,CONST. ENLOSETADO Y OBRAS COMPLEMENTARIAS CALLE 3 ENTRE AVENIDA A Y AVENIDA B ZONA EL PEDREGAL,229999,,,2/3/2025,2/3/2027,Sí,Olmedo Roger,
otb_2019.171,SR19-20,MIRADOR TURISTICO,SUR,19,CONST. ENLOSETADO Y OBRAS COMPLEMENTARIAS AV. GIRASOLES ENTRE C. S/N 3 Y C. S/N 4 ZONA MIRADOR TURISTICO,159998,,,5/8/2025,,,,
otb_2019.153,SR19-21,URB. LOS ALMENDROS,SUR,19,CONST. GRADERIAS Y OB. COMP. C. LOS ROBLES ENTRE C. LOS CIPRECES Y C. LOS HIBISCOS ZONA URB. LOS ALMENDROS,159995,,,,,,García Soruco Victor Hugo,
otb_2019.158,SR19-24,CHASQUIPAMPA,SUR,19,MEJ. AREA VERDE AV_1 ZONA CHASQUIPAMPA,229871,Sí,Sí,13/8/2023,13/8/2025,No,Oblitas Melisa,
otb_2019.159,SR19-25,LOMAS DE CHASQUIPAMPA Y VILLA ESPERANZA,SUR,19,,199999,,,20/8/2025,,,,
otb_2019.122,SR19-26,KALLPANI,SUR,19,AMPL. ENLOSETADO Y OBRAS COMPLEMENTARIAS CALLE TRES MARIAS ENTRE CALLE 1 Y CALLE 35 ZONA KALLPANI,159999,,,31/8/2023,31/8/2025,No,Ortiz Marin María Desiré,
otb_2019.160,SR19-27,EL CHORO,SUR,19,,0,,,5/8/2025,,,,
otb_2019.139,SR19-28,SANTA FE DE KESINI,SUR,19,CONST. OBRAS DE ESTABILIZACION AREA VERDE AV_4 ENTRE C. 5 Y AREA AV_3 ZONA SANTA FE DE KESINI,159958,,,24/11/2024,24/11/2026,,Quisocala Quispe Cesar Hernan,
otb_2019.112,SR19-29,HUANCANE,SUR,19,CONST. CONTROL DE TORRENTERA ENTRE FINAL C. 3 Y RIO TRANCA JAHUIRA ZONA HUANCANE,159992,Sí,Sí,5/8/2025,5/8/2027,Sí,Gutierrez Cesar,323222
otb_2019.147,SR19-31,COQUENI,SUR,19,AMPL. MURO DE CONEXION Y OBRAS COMPLEMENTARIAS AREA EQ ZONA COQUENI,199999,,,13/4/2025,13/4/2027,Sí,Torrico Arce Maria Luz,
otb_2019.145,SR19-32,PLAYA KOQUENI,SUR,19,CONST. ENLOSETADO Y OBRAS COMPLEMENTARIAS AV. COSTANERA JILUSAYA ENTRE C. 3_B Y C. 4 ZONA PLAYA KOQUENI,136252,,,5/8/2025,,,,
otb_2019.138,SR19-33,PLAYON JILUSAYA LA TRINCHA,SUR,19,CONST. ENLOSETADO Y OB. COMP. C.58 ENTRE AV. DEF. DEL CHACO Y AV. CIRCUNV. ZONA PLAYON JILUSAYA LA TRINCHA,155441,,,15/8/2025,,,Guzman Rene Damian,
otb_2019.118,SR19-34,CASEGURAL MUNICIPAL,SUR,19,CONST. ENLOSETADO Y OBRAS COMPLEMENTARIAS CALLE 3 ENTRE CALLE 7 Y C. S/N (CALLE 6) ZONA CASEGURAL MUNICIPAL,199832,,,22/8/2025,22/8/2025,No,Ramallo Ramiro,
otb_2019.114,SR19-35,ALTOZANO,SUR,19,AMPLI. ENLOSETADO Y OBRAS COM. CALLE 2 Y CALLE 3 ENTRE C. QUENUA Y AV. CIRCUNVALACION ZONA ALTOZANO,159886,Sí,No,8/9/2024,8/9/2026,Sí,Mercado Edgar,
otb_2019.150,SR19-36,VIRGEN DE LA MERCED,SUR,19,CONST. ENLOSETADO C. LOS NOGALES Y C. LAS ACACIAS ENTRE C. LOS OLIVOS Y C. GERANIOS ZONA VIRGEN DE LA MERCED,199999,,,20/8/2025,,,,
